Player;Pos;Squad;Min
Mamadou Coulibaly;CM;Udinese;184
Senou Coulibaly;CB;Dijon;1934
Tanguy Coulibaly;W;Stuttgart;1506
Thibaut Courtois;GK;Real Madrid;3420
Philippe Coutinho;AM;Barcelona;654
Nicolas Cozza;CB;Montpellier;1369
Alessio Cragno;GK;Cagliari;3060
Gian Crespi;GK;Crotone;90
Aaron Cresswell;FB;West Ham;3170
Domenico Criscito;FB;Genoa;1726
Bryan Cristante;CM;Roma;2155
Giovanni Crociata;CM;Crotone;26
Juan Cruz Armada;FB;Osasuna;1962
Juan Cuadrado;FB;Juventus;2175
Adrián Cubas;CM;Nîmes;2242
Sergio Cubero Ezcurra;FB;Eibar;1
Cucho;FW;Getafe;1466
Marc Cucurella;W;Getafe;3244
Mickaël Cuisance;CM;Marseille;1024
Mickaël Cuisance;CM;Bayern Munich;18
Matheus Cunha;FW;Hertha BSC;2149
Giuseppe Cuomo;CB;Crotone;801
Patrick Cutrone;FW;Wolves;25
Patrick Cutrone;FW;Fiorentina;196
Patrick Cutrone;FW;Valencia;108
Wylan Cyprien;CM;Parma;410
Rafael Czichos;CB;Köln;2259
Lennart-Marten Czyborra;W;Genoa;1173
Danilo D'Ambrosio;FB;Inter;699
Damien Da Silva;CB;Rennes;2661
Bryan Dabo;CM;Benevento;1117
Moanes Dabour;FW;Hoffenheim;999
Colin Dagba;FB;Paris Saint-Germain;1357
Finn Dahmen;GK;Mainz 05;270
Mahmoud Dahoud;CM;Dortmund;1258
Leon Dajaku;AM;Union Berlin;37
Stuart Dallas;FB;Leeds United;3409
Diogo Dalot;FB;Milan;1090
Mikkel Damsgaard;W;Sampdoria;1773
Flavius Daniliuc;CB;Nice;1477
Danilo;CB;Juventus;2916
Scott Dann;CB;Crystal Palace;1350
Tiago Dantas;CM;Bayern Munich;69
Dante;CB;Nice;774
Andrea Danzi;CM;Hellas Verona;104
Ebrima Darboe;CM;Roma;323
Márton Dárdai;CB;Hertha BSC;821
Vladimír Darida;CM;Hertha BSC;1903
Karl Darlow;GK;Newcastle Utd;2250
Matteo Darmian;FB;Inter;1160
Matteo Darmian;FB;Parma;208
Jonathan David;FW;Lille;2354
Alphonso Davies;FB;Bayern Munich;1763
Ben Davies;FB;Tottenham;1346
Tom Davies;CM;Everton;1423
Keinan Davis;FW;Aston Villa;277
Leif Davis;FB;Leeds United;33
Paweł Dawidowicz;CB;Hellas Verona;1860
Craig Dawson;CB;West Ham;1925
Kevin De Bruyne;AM;Manchester City;1997
Sebastien De Maio;CB;Udinese;853
Rodrigo De Paul;CM;Udinese;3201
Mattia De Sciglio;FB;Juventus;24
Mattia De Sciglio;FB;Lyon;1467
Lorenzo De Silvestri;FB;Bologna;2143
Thibault De Smet;FB;Reims;496
Lucas Deaux;CM;Nîmes;1754
Mathieu Debuchy;FB;Saint-Étienne;2103
Grégoire Defrel;FW;Sassuolo;1337
Alessandro Deiola;CM;Spezia;360
Alessandro Deiola;CM;Cagliari;615
Romain Del Castillo;W;Rennes;652
Lorenzo Del Pinto;CM;Benevento;11
Thomas Delaine;FB;Metz;1779
Thomas Delaney;CM;Dortmund;1286
Liam Delap;FW;Manchester City;40
Jonathan Delaplace;CM;Lorient;906
Sacha Delaye;CM;Montpellier;7
Cristian Dell'Orco;FB;Spezia;262
Andy Delort;FW;Montpellier;2482
Fabian Delph;CM;Everton;266
Moussa Dembélé;FW;Atlético Madrid;100
Moussa Dembélé;FW;Lyon;677
Ousmane Dembélé;W;Barcelona;1774
Merih Demiral;CB;Juventus;940
Kerem Demirbay;CM;Leverkusen;1744
Ermedin Demirović;FW;Freiburg;1498
Diego Demme;CM;Napoli;1590
Jason Denayer;CB;Lyon;2614
Leander Dendoncker;CM;Wolves;2503
Kevin Denkey;FW;Nîmes;524
Emmanuel Dennis;FW;Köln;474
Stefano Denswil;CB;Bologna;115
Fabio Depaoli;FB;Benevento;1120
Fabio Depaoli;FB;Sampdoria;77
Fabio Depaoli;FB;Atalanta;191
