Player;Pos;Squad;Min;Goals;Non-penalty Expected Goals;Non-penalty Expected Goals/Shot;Aerial Duels Won;Aerial Duels Won %;Touches Inside Opposition's Penalty Box;Expected Assists;Completed Passes into Penalty Box;Successful Dribbles;Successful Dribbles %;Dispossessed;Successful Pressures
Jokin Ezkieta;GK;Athletic Club;90;0;0;0;0;0;0;0;0;0;0;0;0
Łukasz Fabiański;GK;West Ham;3150;0;0;0;0;0;0;0;0;0;0;0;0.06
Fabinho;CM;Liverpool;2567;0;0.01;0.04;2.18;54.4;0.46;0.01;0.56;0.18;55.6;0.46;4.04
Fábio;FB;Nantes;1507;0;0.02;0.04;2.16;52.2;0.96;0.03;0.42;0.42;38.9;0.84;6.11
Cesc Fàbregas;CM;Monaco;877;0.21;0.15;0.19;0.93;42.9;2.78;0.3;1.86;0.62;54.5;1.24;4.54
Bandiougou Fadiga;AM;Paris Saint-Germain;63;0;0.14;0.05;0;0;1.43;0;1.43;2.86;66.7;2.86;10
Bandiougou Fadiga;AM;Brest;43;0;0;0;0;0;0;0;2;0;0;6;8
Wout Faes;CB;Reims;2899;0.03;0.02;0.09;2.14;67.6;0.62;0;0.09;0.4;81.3;0.43;2.7
Nicolò Fagioli;AM;Juventus;21;0;0;0;0;0;0;0;0;10;100;0;10
Ralf Fährmann;GK;Schalke 04;1876;0;0;0.06;0;0;0.05;0;0;0;0;0;0.05
Romain Faivre;W;Brest;2891;0.19;0.2;0.1;0.53;40.5;2.68;0.18;1.09;2.77;66.4;1.65;5.39
Fali;CB;Cádiz;2637;0;0.02;0.07;1.5;57.1;0.68;0.02;0.27;0.27;88.9;0.2;2.76
Iago Falque;W;Benevento;358;0.25;0.07;0.03;0.25;11.1;4.5;0.33;3.5;1.5;54.5;2.25;3.75
Andri Fannar Baldursson;CM;Bologna;217;0;0.08;0.11;2.08;50;1.25;0.04;0.83;0.42;50;1.67;5
Paolo Faragò;FB;Bologna;23;0;0.33;0.07;0;0;6.67;0;3.33;0;0;0;6.67
Paolo Faragò;FB;Cagliari;369;0;0.02;0.04;1.71;63.6;1.46;0.17;1.22;0.49;33.3;0.73;3.66
Davide Faraoni;W;Hellas Verona;2891;0.12;0.13;0.11;1.65;58.9;2.34;0.12;1.15;0.72;39;0.5;3.21
Mohamed Fares;W;Lazio;1139;0;0.06;0.05;0.94;48;1.97;0.12;1.18;0.55;38.9;0.94;2.76
Diego Farias;W;Spezia;1514;0.24;0.2;0.11;0.48;47.1;4.82;0.18;1.25;1.43;72.7;0.71;2.8
Wuilker Faríñez;GK;Lens;107;0;0;0;0;0;0;0;0;0;0;0;0
Noah Fatar;W;Angers;21;0;0;0;0;0;0;0;0;0;0;10;0
Ansu Fati;W;Barcelona;431;0.83;0.38;0.13;0.42;33.3;9.17;0.29;1.46;3.13;60;3.13;3.75
Julien Faussurier;FB;Brest;955;0;0.05;0.07;0.94;50;2.08;0.19;2.83;0.57;54.5;0.57;3.49
Andrea Favilli;FW;Hellas Verona;339;0.53;0.47;0.15;2.89;27.5;7.11;0.03;0.26;0.79;33.3;6.32;3.68
